Full Name,Family,Epochs,Standard Accuracy (%),Weighted Human Score (Max 9)
SBLS (Exp 2) - 300ep,SBLS (Exp 2),300ep,93.80999803543091,8.81149959564209
Static KL (Exp 3a) - 300ep,Static KL (Exp 3a),300ep,93.47999691963196,8.805299758911133
Dynamic Boost (Exp 4b) - 300ep,Dynamic Boost (Exp 4b),300ep,93.58999729156494,8.80109977722168
Baseline (Exp 1) - 300ep,Baseline (Exp 1),300ep,93.32999587059021,8.796899795532227
Static WMSE (Exp 3b) - 300ep,Static WMSE (Exp 3b),300ep,93.35999488830566,8.795000076293945
Dynamic Basic (Exp 4a) - 300ep,Dynamic Basic (Exp 4a),300ep,93.30999851226807,8.793700218200684
Capped 0.6 (Exp 5a) - 300ep,Capped 0.6 (Exp 5a),300ep,92.36999750137329,8.779600143432617
Swap 0.6 (Exp 5b) - 300ep,Swap 0.6 (Exp 5b),300ep,92.36999750137329,8.779600143432617
Capped 0.95 (Exp 5a) - 300ep,Capped 0.95 (Exp 5a),300ep,92.36999750137329,8.770999908447266
Swap 0.95 (Exp 5b) - 300ep,Swap 0.95 (Exp 5b),300ep,92.36999750137329,8.770999908447266
Swap 0.8 (Exp 5b) - 300ep,Swap 0.8 (Exp 5b),300ep,92.21999645233154,8.768199920654297
Capped 0.8 (Exp 5a) - 300ep,Capped 0.8 (Exp 5a),300ep,92.21999645233154,8.768199920654297
Dynamic Boost (Exp 4b) - 50ep,Dynamic Boost (Exp 4b),50ep,91.59999489784241,8.759699821472168
Static KL (Exp 3a) - 50ep,Static KL (Exp 3a),50ep,91.88999533653259,8.757100105285645
Dynamic Basic (Exp 4a) - 50ep,Dynamic Basic (Exp 4a),50ep,91.60999655723572,8.755999565124512
SBLS (Exp 2) - 50ep,SBLS (Exp 2),50ep,91.78999662399292,8.750899314880371
Static WMSE (Exp 3b) - 50ep,Static WMSE (Exp 3b),50ep,91.8500006198883,8.749300003051758
Baseline (Exp 1) - 50ep,Baseline (Exp 1),50ep,91.92000031471252,8.745100021362305
Probe (Teacher),Probe,Teacher,91.92000031471252,8.745100021362305
Swap 0.95 (Exp 5b) - 50ep,Swap 0.95 (Exp 5b),50ep,89.65999484062195,8.698699951171875
Capped 0.95 (Exp 5a) - 50ep,Capped 0.95 (Exp 5a),50ep,89.65999484062195,8.698699951171875
Swap 0.6 (Exp 5b) - 50ep,Swap 0.6 (Exp 5b),50ep,87.70999908447266,8.666999816894531
Capped 0.6 (Exp 5a) - 50ep,Capped 0.6 (Exp 5a),50ep,87.70999908447266,8.666999816894531
Capped 0.8 (Exp 5a) - 50ep,Capped 0.8 (Exp 5a),50ep,88.23999762535095,8.658599853515625
Swap 0.8 (Exp 5b) - 50ep,Swap 0.8 (Exp 5b),50ep,88.23999762535095,8.658599853515625
